Time,Document Name,Sentiment Value
2016-03,translated_20160331_[COMPANY_2]_Performancebegründung_page_5.txt,0.005486556328833103
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_1.txt,-0.999988853931427
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_10.txt,-0.9999883770942688
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_11.txt,-0.9999924898147583
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_12.txt,-0.9999982118606567
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_13.txt,-0.9999969601631165
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_14.txt,-0.9999957084655762
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_15.txt,-0.9999990463256836
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_16.txt,-0.9999983310699463
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_17.txt,-0.9999988675117493
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_18.txt,-0.9999988079071045
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_19.txt,-0.9999986886978149
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_2.txt,-0.9999987483024597
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_20.txt,-0.9999988675117493
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_21.txt,-0.9999978542327881
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_22.txt,-0.9999985098838806
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_23.txt,-0.9999986290931702
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_24.txt,-0.9999986290931702
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_25.txt,-0.9999989867210388
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_26.txt,-0.9999989867210388
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_27.txt,-0.9999984502792358
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_28.txt,-0.9999992251396179
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_29.txt,-0.9999987483024597
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_3.txt,-0.9999884963035583
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_30.txt,-0.9999990463256836
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_31.txt,-0.9999988675117493
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_32.txt,-0.9999976754188538
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_33.txt,-0.9999967217445374
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_34.txt,-0.9999984502792358
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_35.txt,-0.9999987483024597
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_36.txt,-0.9999876618385315
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_4.txt,-0.9999991059303284
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_5.txt,-0.9999842047691345
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_6.txt,-0.9999859929084778
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_7.txt,-0.9999851584434509
