structure,type,seas_adj,date,value
ks_i63_index_q_hist,index,na,2002-04-01,-1.2696918005323827
ks_i63_index_q_hist,index,na,2002-07-01,-10.154509160530834
ks_i63_index_q_hist,index,na,2002-10-01,-20.018150146066198
ks_i63_index_q_hist,index,na,2003-01-01,-9.709272831238977
ks_i63_index_q_hist,index,na,2003-04-01,-15.908044421010505
ks_i63_index_q_hist,index,na,2003-07-01,-13.196349777391607
ks_i63_index_q_hist,index,na,2003-10-01,-11.406139384775113
ks_i63_index_q_hist,index,na,2004-01-01,-2.4115912206652936
ks_i63_index_q_hist,index,na,2004-04-01,-1.0663546672137074
ks_i63_index_q_hist,index,na,2004-07-01,-7.73018211535783
ks_i63_index_q_hist,index,na,2004-10-01,-9.887441118476406
ks_i63_index_q_hist,index,na,2005-01-01,-3.6129720999392068
ks_i63_index_q_hist,index,na,2005-04-01,-6.028027895385782
ks_i63_index_q_hist,index,na,2005-07-01,-10.145300557928552
ks_i63_index_q_hist,index,na,2005-10-01,-10.86555760213634
ks_i63_index_q_hist,index,na,2006-01-01,4.72749277722345
ks_i63_index_q_hist,index,na,2006-04-01,3.022630732075325
ks_i63_index_q_hist,index,na,2006-07-01,3.1647131100280963
ks_i63_index_q_hist,index,na,2006-10-01,1.612828645035055
ks_i63_index_q_hist,index,na,2007-01-01,6.689362541942974
ks_i63_index_q_hist,index,na,2007-04-01,7.124996682221934
ks_i63_index_q_hist,index,na,2007-07-01,1.5106687197019215
ks_i63_index_q_hist,index,na,2007-10-01,1.2012090019648758
ks_i63_index_q_hist,index,na,2008-01-01,-1.0266164388920624
ks_i63_index_q_hist,index,na,2008-04-01,-5.06516933867835
ks_i63_index_q_hist,index,na,2008-07-01,-23.756786017839623
ks_i63_index_q_hist,index,na,2008-10-01,-27.235583621439044
ks_i63_index_q_hist,index,na,2009-01-01,-15.838735280711735
ks_i63_index_q_hist,index,na,2009-04-01,-20.533811743833564
ks_i63_index_q_hist,index,na,2009-07-01,-14.573476177603977
ks_i63_index_q_hist,index,na,2009-10-01,0.4377931475369238
ks_i63_index_q_hist,index,na,2010-01-01,6.504791902227774
ks_i63_index_q_hist,index,na,2010-04-01,9.221186760122162
ks_i63_index_q_hist,index,na,2010-07-01,8.336221074389602
ks_i63_index_q_hist,index,na,2010-10-01,2.9967819752144593
ks_i63_index_q_hist,index,na,2011-01-01,5.3364077282061295
ks_i63_index_q_hist,index,na,2011-04-01,3.8364434711068824
ks_i63_index_q_hist,index,na,2011-07-01,-9.358738368753569
ks_i63_index_q_hist,index,na,2011-10-01,-9.663862671127953
ks_i63_index_q_hist,index,na,2012-01-01,-5.346250964892113
ks_i63_index_q_hist,index,na,2012-04-01,-2.5960581792294746
ks_i63_index_q_hist,index,na,2012-07-01,-9.085638289877082
ks_i63_index_q_hist,index,na,2012-10-01,-8.674558161123185
ks_i63_index_q_hist,index,na,2013-01-01,2.970427408040817
ks_i63_index_q_hist,index,na,2013-04-01,0.1577242511802711
ks_i63_index_q_hist,index,na,2013-07-01,-3.5220897209856616
ks_i63_index_q_hist,index,na,2013-10-01,-2.5464520631910266
ks_i63_index_q_hist,index,na,2014-01-01,5.434381919027092
ks_i63_index_q_hist,index,na,2014-04-01,1.175312393138605
ks_i63_index_q_hist,index,na,2014-07-01,1.052456656329047
ks_i63_index_q_hist,index,na,2014-10-01,-5.4044227201649555
ks_i63_index_q_hist,index,na,2015-01-01,-1.9592580120979153
ks_i63_index_q_hist,index,na,2015-04-01,2.1912783244143625
ks_i63_index_q_hist,index,na,2015-07-01,-8.54424977564574
ks_i63_index_q_hist,index,na,2015-10-01,-8.599979197960572
ks_i63_index_q_hist,index,na,2016-01-01,-4.2141170089431155
ks_i63_index_q_hist,index,na,2016-04-01,-5.152537008100457
ks_i63_index_q_hist,index,na,2016-07-01,-8.727649897919909
ks_i63_index_q_hist,index,na,2016-10-01,-6.829576649044769
ks_i63_index_q_hist,index,na,2017-01-01,1.832493222962991
ks_i63_index_q_hist,index,na,2017-04-01,-4.071304141567357
ks_i63_index_q_hist,index,na,2017-07-01,-0.8719499019838144
ks_i63_index_q_hist,index,na,2017-10-01,-4.0557344953844146
ks_i63_index_q_hist,index,na,2018-01-01,1.3562808683211247
ks_i63_index_q_hist,index,na,2018-04-01,-3.929627616610721
ks_i63_index_q_hist,index,na,2018-07-01,-6.408504149699803
ks_i63_index_q_hist,index,na,2018-10-01,-6.177208302211505
ks_i63_index_q_hist,index,na,2019-01-01,-6.6018411408493165
ks_i63_index_q_hist,index,na,2019-04-01,-7.955207016174652
ks_i63_index_q_hist,index,na,2019-07-01,-9.547405267263361
ks_i63_index_q_hist,index,na,2019-10-01,-13.20736383396637
ks_i63_index_q_hist,index,na,2020-01-01,-6.443062572900141
ks_i63_index_q_hist,index,na,2020-04-01,-37.807297135124976
ks_i63_index_q_hist,index,na,2020-07-01,-13.66751403440776
ks_i63_index_q_hist,index,na,2020-10-01,-15.71712637812819
ks_i63_index_q_hist,index,na,2021-01-01,-11.6178341531845
ks_i63_index_q_hist,index,na,2021-04-01,-5.269203534161711
ks_i63_index_q_hist,index,na,2021-07-01,6.848532107072713
ks_i63_index_q_hist,index,na,2021-10-01,0.9140164906542942
ks_i63_index_q_hist,index,na,2022-01-01,-1.5071758638242065
ks_i63_index_q_hist,index,na,2022-04-01,-26.414143073086414
ks_i63_index_q_hist,index,na,2022-07-01,-42.403970955600116
ks_i63_index_q_hist,index,na,2022-10-01,-49.243079420770925
ks_i63_index_q_hist,index,na,2023-01-01,-27.912396906871905
ks_i63_index_q_hist,index,na,2023-04-01,-28.406354904736375
ks_i63_index_q_hist,index,na,2023-07-01,-27.70011836060234
ks_i63_index_q_hist,index,na,2023-10-01,-42.5671789217969
ks_i11_econ_hist_q_hist,index,na,1972-10-01,0.24509803921568626
ks_i11_econ_hist_q_hist,index,na,1973-01-01,-6.904761904761905
ks_i11_econ_hist_q_hist,index,na,1973-04-01,-4.935622317596566
ks_i11_econ_hist_q_hist,index,na,1973-07-01,-6.172839506172839
ks_i11_econ_hist_q_hist,index,na,1973-10-01,-24.448897795591183
ks_i11_econ_hist_q_hist,index,na,1974-01-01,-33.46228239845261
ks_i11_econ_hist_q_hist,index,na,1974-04-01,-60.43010752688171
ks_i11_econ_hist_q_hist,index,na,1974-07-01,-53.5483870967742
ks_i11_econ_hist_q_hist,index,na,1974-10-01,-70.02341920374707
ks_i11_econ_hist_q_hist,index,na,1975-01-01,-70.62634989200865
ks_i11_econ_hist_q_hist,index,na,1975-04-01,-101.93236714975846
ks_i11_econ_hist_q_hist,index,na,1975-07-01,-84.27947598253274
ks_i11_econ_hist_q_hist,index,na,1975-10-01,-97.13740458015268
ks_i11_econ_hist_q_hist,index,na,1976-01-01,-98.81422924901186
ks_i11_econ_hist_q_hist,index,na,1976-04-01,-50.51546391752577
ks_i11_econ_hist_q_hist,index,na,1976-07-01,5.333333333333334
ks_i11_econ_hist_q_hist,index,na,1976-10-01,-1.3282732447817838
ks_i11_econ_hist_q_hist,index,na,1977-01-01,-39.800000000000004
ks_i11_econ_hist_q_hist,index,na,1977-04-01,-1.9723865877712032
ks_i11_econ_hist_q_hist,index,na,1977-07-01,23.118279569892472
ks_i11_econ_hist_q_hist,index,na,1977-10-01,23.965141612200437
ks_i11_econ_hist_q_hist,index,na,1978-01-01,13.188976377952756
ks_i11_econ_hist_q_hist,index,na,1978-04-01,11.965811965811966
ks_i11_econ_hist_q_hist,index,na,1978-07-01,19.402985074626866
ks_i11_econ_hist_q_hist,index,na,1978-10-01,-23.92638036809816
ks_i11_econ_hist_q_hist,index,na,1979-01-01,-8.436213991769549
ks_i11_econ_hist_q_hist,index,na,1979-04-01,16.919739696312362
ks_i11_econ_hist_q_hist,index,na,1979-07-01,1.3363028953229399
ks_i11_econ_hist_q_hist,index,na,1979-10-01,2.8925619834710745
ks_i11_econ_hist_q_hist,index,na,1980-01-01,11.007751937984496
ks_i11_econ_hist_q_hist,index,na,1980-04-01,19.554848966613672
ks_i11_econ_hist_q_hist,index,na,1980-07-01,16.74641148325359
ks_i11_econ_hist_q_hist,index,na,1980-10-01,1.0852713178294573
ks_i11_econ_hist_q_hist,index,na,1981-01-01,-3.5964035964035967
ks_i11_econ_hist_q_hist,index,na,1981-04-01,-23.6816874400767
ks_i11_econ_hist_q_hist,index,na,1981-07-01,-22.113502935420744
ks_i11_econ_hist_q_hist,index,na,1981-10-01,-29.211295034079843
ks_i11_econ_hist_q_hist,index,na,1982-01-01,-41.1934552454283
ks_i11_econ_hist_q_hist,index,na,1982-04-01,-42.17557251908397
ks_i11_econ_hist_q_hist,index,na,1982-07-01,-60.440613026819925
ks_i11_econ_hist_q_hist,index,na,1982-10-01,-70.54794520547945
ks_i11_econ_hist_q_hist,index,na,1983-01-01,-70.0862895493768
ks_i11_econ_hist_q_hist,index,na,1983-04-01,-46.692233940556086
ks_i11_econ_hist_q_hist,index,na,1983-07-01,-45.08506616257088
ks_i11_econ_hist_q_hist,index,na,1983-10-01,-30.317613089509145
ks_i11_econ_hist_q_hist,index,na,1984-01-01,-29.433962264150942
ks_i11_econ_hist_q_hist,index,na,1984-04-01,-25.717017208413
ks_i11_econ_hist_q_hist,index,na,1984-07-01,-12.561334641805692
ks_i11_econ_hist_q_hist,index,na,1984-10-01,-1.532567049808429
ks_i11_econ_hist_q_hist,index,na,1985-01-01,-0.3917727717923604
ks_i11_econ_hist_q_hist,index,na,1985-04-01,4.549854791868345
ks_i11_econ_hist_q_hist,index,na,1985-07-01,8
ks_i11_econ_hist_q_hist,index,na,1985-10-01,15.627996164908916
ks_i11_econ_hist_q_hist,index,na,1986-01-01,24.71590909090909
ks_i11_econ_hist_q_hist,index,na,1986-04-01,30.924855491329478
ks_i11_econ_hist_q_hist,index,na,1986-07-01,24.633431085043988
