"Date","GoldUSD","GoldCHF"
2011-12-30,-0.324697022271915,-0.309386065896274
2012-01-31,-0.258468168596556,-0.253078413942847
2012-02-29,-0.262366503450668,-0.272051644492371
2012-03-30,-0.285842190264444,-0.29450767235475
2012-04-30,-0.287243020481251,-0.292423822916515
2012-05-31,-0.32875814473532,-0.286682307681098
2012-06-29,-0.315692297147361,-0.289261617824927
2012-07-31,-0.307852788594586,-0.261544963059033
2012-08-31,-0.279587718960044,-0.247074595980939
2012-09-28,-0.2408828229085,-0.220946329947685
2012-10-31,-0.263480313408986,-0.250280518193609
2012-11-30,-0.265442332489408,-0.255322559491716
2012-12-31,-0.281922435988056,-0.282514608804628
2013-01-31,-0.287739951078039,-0.292132375442636
2013-02-28,-0.32252080896874,-0.308161986505982
2013-03-29,-0.315113972745927,-0.289946519388543
2013-04-30,-0.369442195405105,-0.358320096760561
2013-05-31,-0.401922607343434,-0.37244072687
2013-06-28,-0.475669678237438,-0.457732830100695
2013-07-31,-0.439500841783295,-0.431852294420238
2013-08-30,-0.401172927563797,-0.389927575302741
2013-09-30,-0.429485119927345,-0.435655683954359
2013-10-31,-0.432959350220405,-0.438832461419641
2013-11-29,-0.463966105906191,-0.468968130218731
2013-12-31,-0.483783355395338,-0.498622910685922
2014-01-31,-0.468361371357091,-0.473718724042959
2014-02-28,-0.433456280817193,-0.45439575652478
2014-03-31,-0.448706909477237,-0.466884280780496
2014-04-30,-0.445875261852437,-0.467787767949521
2014-05-30,-0.466262267974108,-0.477726126808796
2014-06-30,-0.435216957328227,-0.451991314865278
2014-07-31,-0.450703199633299,-0.454046019556125
2014-08-29,-0.448441308641023,-0.446366378619413
2014-09-30,-0.482219737569238,-0.459292074085948
2014-10-31,-0.497860199714693,-0.471357999504539
2014-11-28,-0.500237755587256,-0.471328854757151
2014-12-31,-0.491091662275685,-0.447065852556723
2015-01-30,-0.453547698911465,-0.45037378138525
2015-02-27,-0.480022104843788,-0.457995132827186
2015-03-31,-0.492848054902263,-0.460312140244524
2015-04-30,-0.493893322709299,-0.480494877810647
2015-05-29,-0.490629002754537,-0.4753071127756
2015-06-30,-0.497153358779607,-0.485595208603529
2015-07-31,-0.531214524081856,-0.504597583900442
2015-08-31,-0.514327451559976,-0.486513268146248
2015-09-30,-0.522364018797685,-0.49087040788074
2015-10-30,-0.510998873338388,-0.472013756320767
2015-11-30,-0.544104732407157,-0.487781064657622
2015-12-31,-0.544982928720446,-0.502382583098961
2016-01-29,-0.521507241906671,-0.465019016947671
2016-02-29,-0.472216867366653,-0.424449528583711
2016-03-31,-0.47204551198845,-0.446322661498332
2016-04-29,-0.446924813543929,-0.419567783396238
2016-05-31,-0.47955944532264,-0.434708479664253
2016-06-30,-0.436189399099527,-0.397184617402329
2016-07-29,-0.423046441591377,-0.387916587732976
2016-08-31,-0.439612222779127,-0.397986097955496
2016-09-30,-0.435465422626621,-0.399851361788322
2016-10-31,-0.454353069189018,-0.409017384841817
2016-11-30,-0.496669279836184,-0.439633941972808
2016-12-30,-0.506042419023874,-0.450228057648311
2017-01-31,-0.481375812331589,-0.438045553240167
2017-02-28,-0.461815595909747,-0.409585707415881
2017-03-31,-0.464557281960991,-0.414380018361191
2017-04-28,-0.457231839542823,-0.410052023374088
2017-05-31,-0.456010932473129,-0.424143508736138
2017-06-30,-0.467757343648927,-0.441659501916267
2017-07-31,-0.456837722172957,-0.425819331710943
2017-08-31,-0.435816701151936,-0.406598370808621
2017-09-29,-0.450180565729781,-0.417134196989348
2017-10-31,-0.455792454365921,-0.406977252524664
2017-11-30,-0.455222697733396,-0.41341824169739
2017-12-29,-0.4404347285945,-0.40412106728065
2018-01-31,-0.42605801236329,-0.414554886845519
2018-02-28,-0.43482283995836,-0.416303571688793
2018-03-30,-0.431430003469946,-0.41043090509013
2018-04-30,-0.4357438751162,-0.389344680354983
2018-05-31,-0.442289650563545,-0.399385045830116
2018-06-29,-0.462213997164068,-0.41655130204159
2018-07-31,-0.474748643079599,-0.431444267956808
2018-08-31,-0.485891026547232,-0.454556052635414
2018-09-28,-0.489138210964173,-0.45454148026172
2018-10-31,-0.480223447413176,-0.426285647669149
2018-11-30,-0.477074792338701,-0.428850385439284
2018-12-31,-0.450985936007334,-0.409512845547412
2019-01-31,-0.433640487848761,-0.384477507541204
2019-02-28,-0.436562097047118,-0.385395567083923
2019-03-29,-0.445913816812532,-0.396645439575653
2019-04-30,-0.450116307462955,-0.387260830916748
2019-05-31,-0.44110301456949,-0.387668857380179
2019-06-28,-0.396143647213547,-0.354881016568789
2019-07-31,-0.389683549455303,-0.339201142474098
2019-08-30,-0.347521558648519,-0.293385599580316
2019-09-30,-0.370037655344359,-0.312417119624616
2019-10-31,-0.352101031130988,-0.301079812890722
2019-11-29,-0.372813612471244,-0.31416580446789
2019-12-31,-0.347637223528806,-0.310435276802239
2020-01-31,-0.321595489926445,-0.284685892485027
2020-02-28,-0.321535515544074,-0.280984509566764
2020-03-31,-0.315482386809062,-0.276700231700742
2020-04-30,-0.277021672171458,-0.236276467073722
2020-05-29,-0.257332939215963,-0.219255934599187
2020-06-30,-0.235892097518345,-0.20879297028693
2020-07-31,-0.154691067672522,-0.155662095798785
2020-08-31,-0.155260824305046,-0.165906474505633
2020-09-30,-0.186961569272553,-0.180639144310217
2020-10-30,-0.194745387327412,-0.192471911749705
2020-11-30,-0.238278221159818,-0.245311338763972
2020-12-31,-0.188478064369647,-0.215059090975329
2021-01-29,-0.206564624538946,-0.227183305888697
2021-02-26,-0.260387348832427,-0.264386575929354
2021-03-31,-0.266590413523366,-0.244349562100171
2021-04-30,-0.242656351072898,-0.244349562100171
2021-05-31,-0.183170331529818,-0.197309939816097
2021-06-30,-0.240775725797123,-0.231919327339231
2021-07-30,-0.222693449512279,-0.229587747548199
2021-08-31,-0.222877656543847,-0.221835244743017
2021-09-30,-0.246777447918674,-0.230738965070021
2021-10-29,-0.238256801737543,-0.236291039447416
2021-11-30,-0.239880393946014,-0.234979525814961
2021-12-31,-0.217492813783826,-0.22026142838407
2022-01-31,-0.230185963424194,-0.21720122990834
2022-02-28,-0.186378960986664,-0.18282500036431
2022-03-31,-0.167020087134209,-0.160004663159583
2022-04-29,-0.182506329439282,-0.130787053903211
2022-05-31,-0.209207781247724,-0.171414831761946
2022-06-30,-0.22463833305488,-0.191218687612026
2022-07-29,-0.244506989157488,-0.21303353103187
2022-08-31,-0.264791182052237,-0.215743992538945
2022-09-30,-0.287101652294234,-0.232851959255644
2022-10-31,-0.299349277951275,-0.233055972487359
2022-11-30,-0.249086461639956,-0.218775046267287
2022-12-30,-0.218636610933329,-0.212290339973479
2023-01-31,-0.17336880389662,-0.170453055098145
2023-02-28,-0.216323313327592,-0.19643559739446
2023-03-31,-0.152977513890495,-0.153126502776038
2023-04-28,-0.146838707466382,-0.167553152733049
2023-05-31,-0.158118175236577,-0.158183116447839
2023-06-30,-0.177464197435666,-0.195065794267229
2023-07-31,-0.155629238368182,-0.197164216079158
2023-08-31,-0.168163884283712,-0.196858196231585
2023-09-29,-0.20588348691059,-0.205718199437507
2023-10-31,-0.149987362540857,-0.154467161155881
2023-11-30,-0.127342749311365,-0.16504670445769
2023-12-29,-0.114675302977727,-0.187444442825292
2024-01-31,-0.121936487129068,-0.174445885490288
2024-02-29,-0.12362862148882,-0.152893344796934
2024-03-29,-0.0447580247865546,-0.0563805138218969
2024-04-30,-0.0169384791353399,-0.0133920114247414
2024-05-27,0,0
