"Index","Alpha (annualisiert)","Value/Growth","Small/Large","Momentum","Volatility"
"2019-02-28 12:00:00",0.000249293249919628,-0.10213021848317,0.135841859967976,0.0972089268153094,0.0569041552604585
"2019-03-31 12:00:00",-0.00487018428430557,-0.0628068026600666,0.204423782667565,0.096604637316413,0.0382533819791841
"2019-04-30 12:00:00",-0.00718670038394253,-0.0723385311464171,0.171839799334179,0.0715472367388418,0.0451531493920191
"2019-05-31 12:00:00",-0.00859459498980081,-0.124138724410365,0.150517966404496,0.0151763675158911,0.0415155395592917
"2019-06-30 12:00:00",-0.00769687504978406,-0.144366292709375,0.127800376575801,0.00172632419765144,0.0466935663790712
"2019-07-31 12:00:00",-0.00672358277019414,-0.174080869417319,0.120180361053886,-0.0133838613914191,0.0439290965365923
"2019-08-31 12:00:00",-0.011686161811379,-0.136453193743827,0.165409261543463,-0.0432707602724382,0.0422103665831342
"2019-09-30 12:00:00",-0.00755982397212029,-0.109482400531898,0.168692713280908,-0.0469510583368723,0.0467053064644796
"2019-10-31 12:00:00",-0.015599384936679,-0.147511108801284,0.156693027366567,-0.108750104017429,0.02805464502674
"2019-11-30 12:00:00",-0.0122265364065507,-0.150966637507725,0.162465137220379,-0.112076917563359,0.0269287054139452
"2019-12-31 12:00:00",-0.00596649984545785,-0.131725080475737,0.178760792993417,-0.107536480608393,0.0313480800934923
"2020-01-31 12:00:00",-0.00511786833046443,-0.167900805784032,0.139160857530751,-0.114986528759621,0.0263121288475218
"2020-02-29 12:00:00",-0.00549154529860164,-0.178012523579472,0.132705094647794,-0.123266464777763,0.0239712671053101
"2020-03-31 12:00:00",-0.00870001984702197,-0.295253125190393,0.0543344239332241,-0.19995744236856,-0.0389449913362462
"2020-04-30 12:00:00",-0.0145995939367817,-0.237737556593997,-0.0150142121805565,-0.178325423649337,-0.0331974383472993
"2020-05-31 12:00:00",-0.0162017129744884,-0.24687657677088,-0.0259443703062467,-0.187048548105358,-0.0306039268257042
"2020-06-30 12:00:00",-0.0187441806068096,-0.241967272639163,-0.027664692561302,-0.183548590078471,-0.0304360905459263
"2020-07-31 12:00:00",-0.0234357695512469,-0.254444087209254,0.00867389549720644,-0.125454317049058,-0.0279064316841531
"2020-08-31 12:00:00",-0.0168446363276858,-0.218198125923868,0.0721854268490312,-0.0957773233862526,-0.03899215924956
"2020-09-30 12:00:00",-0.010422528193003,-0.198749666076613,0.143621867469494,-0.0744040624947335,-0.0506985375407875
"2020-10-31 12:00:00",-0.00179293226270499,-0.147423893176818,0.0165589434052316,-0.0858244699486284,-0.0357464683846756
"2020-11-30 12:00:00",0.0161021877304456,-0.0882085195775166,-0.0268458205444951,-0.0675419187922143,-0.0328872849471144
"2020-12-31 12:00:00",0.020117870733957,-0.0711538924797742,-0.0428198624503866,-0.0640814616329231,-0.0331211511057195
"2021-01-31 12:00:00",0.0158585804373942,-0.0826073684252747,-0.0739322019748103,-0.073293733309086,-0.0272848432785271
"2021-02-28 12:00:00",0.0102372710154807,-0.08561530056692,-0.0776225688563493,-0.0781994203447535,-0.0278976167647085
"2021-03-31 12:00:00",0.0273203036301382,-0.034870809449933,-0.1555775695283,-0.0622793313158899,-0.015809215339965
"2021-04-30 12:00:00",0.0255768801925638,-0.0250923328414496,-0.147685585327383,-0.0584054108910829,-0.0181298739906641
"2021-05-31 12:00:00",0.0313314665015477,0.00120789132881201,-0.148685996050461,-0.0306840372458757,-0.0171577554542595
"2021-06-30 12:00:00",0.0295767193518813,-0.0109705316873773,-0.148280900652744,-0.0366840122074332,-0.0167530269479524
"2021-07-31 12:00:00",0.0235077354550214,-0.0158991573010263,-0.144291402204917,-0.04413064112388,-0.0186520659293846
"2021-08-31 12:00:00",0.0399634013884055,0.0235793655738469,-0.179319753962505,0.010214218759441,-0.00940661581638144
"2021-09-30 12:00:00",0.0242807882954276,-0.0274819801877708,-0.187199868496157,-0.0187714369282805,-0.00549595218166486
"2021-10-31 12:00:00",0.0273616191764781,-0.0176059373444908,-0.207747819737061,-0.00388598046306802,6.42951837536926e-05
"2021-11-30 12:00:00",0.0217921245228904,-0.00786479877228816,-0.18958621689216,0.00654011525927499,-0.00182440839597875
"2021-12-31 12:00:00",0.025087028171374,0.00321093946041301,-0.195606745137128,0.0121484424362025,-0.000735978219393722
"2022-01-31 12:00:00",0.00709388461806812,-0.0988092859564736,-0.148653268535409,0.00495259016344225,0.00724018229078104
"2022-02-28 12:00:00",0.00279778831762341,-0.11123482243001,-0.173441176302018,-0.00574173865282879,0.0113869669732224
"2022-03-31 12:00:00",-0.0311948336334608,-0.0606221319485153,-0.0682900248955226,0.05963618671275,0.0988100724055805
"2022-04-30 12:00:00",-0.0295910060606153,-0.0919017792531011,-0.0394948587861868,0.0478580926626824,0.10554045013882
"2022-05-31 12:00:00",-0.0295552427538916,-0.0917123554564082,-0.0393033083086979,0.0481351125018756,0.105736101551306
"2022-06-30 12:00:00",-0.0376235592434501,-0.0852521356657563,-0.0231923940894882,0.0537098083425993,0.114249116179055
"2022-07-31 12:00:00",-0.0379814162052151,-0.0821388253662474,-0.0229124385922966,0.0605186969218417,0.11638898942771
"2022-08-31 12:00:00",-0.0389441290007769,-0.10365187650514,-0.054209573334013,0.0242460130096131,0.104878292751576
"2022-09-30 12:00:00",-0.0397785295745028,-0.104684304686729,-0.0652501932323333,0.0161287357824002,0.100753867490739
"2022-10-31 12:00:00",-0.0456729463823567,-0.0948908013210745,-0.0866914185684895,0.0314499610202589,0.112638174054291
"2022-11-30 12:00:00",-0.0293506467548785,-0.0971605499753635,-0.0855817565919561,-0.0319274719032225,0.121481671846681
"2022-12-31 12:00:00",-0.0326383017858168,-0.0988905002211185,-0.108330583858334,-0.0438583881001083,0.118214874678741
"2023-01-31 12:00:00",-0.0427568682176562,-0.094786194343507,-0.166577080164633,-0.0687206053330208,0.1346320383198
"2023-02-28 12:00:00",-0.0335866672512829,-0.0894596650770693,-0.125118765001487,-0.0832063564355534,0.141739927505637
"2023-03-31 12:00:00",-0.0343229414098391,-0.0802587864933312,-0.106641826380793,-0.0850598913191357,0.14636935229477
"2023-04-30 12:00:00",-0.0346544846531254,-0.0976206573773482,-0.0679738779718067,-0.0821631587018327,0.125119160729428
"2023-05-31 12:00:00",-0.038826942863786,-0.104008270795317,-0.064560515806667,-0.0800088602468741,0.126363879584848
"2023-06-30 12:00:00",-0.0363436344811182,-0.104886105384807,-0.0597417619603275,-0.0787795961862534,0.133081914450558
"2023-07-31 12:00:00",-0.0364391877367174,-0.101834439724989,-0.0410724977799113,-0.080716295845444,0.136818957827417
"2023-08-31 12:00:00",-0.0383766212562773,-0.100220202466411,-0.03754770083733,-0.085882407337124,0.137080319939343
"2023-09-30 12:00:00",-0.038195024270933,-0.104422853071617,-0.0278646838094436,-0.0810476445185611,0.136169428192164
"2023-10-31 12:00:00",-0.0398842296875562,-0.102189807992889,-0.00332940588692111,-0.0961043081249057,0.126950190576206
"2023-11-30 12:00:00",-0.0406824367592494,-0.107099349446044,0.0179311742083268,-0.078805794131433,0.144111214302178
"2023-12-31 12:00:00",-0.0364796328364566,-0.110966021921034,0.0401742530589143,-0.0834692917676157,0.139619308163949
"2024-01-31 12:00:00",-0.0267999732435469,-0.0903671944537766,-0.0203607908347915,-0.104772175139175,0.126649690620716
"2024-02-29 12:00:00",-0.0197095227663949,-0.0999532796607653,0.00254430975178735,-0.0987647205953508,0.112371651259694
"2024-03-31 12:00:00",-0.0223672104257959,-0.103351801027923,-0.000230131635245891,-0.0944642684999461,0.115635512053021
